epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,748.316,0.48991,0.95455,1,0.3913,0.000237824,0.000237824,0.000237824
2,1502.5,0.3883,0.95455,1,0.38126,0.000428717,0.000428717,0.000428717
3,2211.48,0.3695,0.95455,1,0.3952,0.000572487,0.000572487,0.000572487
4,2919.07,0.34479,0.95455,1,0.3875,0.000501942,0.000501942,0.000501942
5,3629.4,0.33462,0.97727,1,0.3771,0.000431256,0.000431256,0.000431256
6,4337.68,0.32014,0.95455,1,0.3642,0.00036057,0.00036057,0.00036057
7,5062.64,0.30959,0.95455,1,0.38727,0.000289884,0.000289884,0.000289884
8,5773.27,0.29838,0.95455,1,0.37445,0.000219198,0.000219198,0.000219198
9,6486.09,0.29338,0.95455,1,0.36369,0.000148512,0.000148512,0.000148512
10,7195.46,0.28407,0.95455,1,0.37516,7.7826e-05,7.7826e-05,7.7826e-05
